fishes ,3040,,sharks ,1000,,total ,4040,,Tick ,1
fishes ,3935,,sharks ,892,,total ,4827,,Tick ,390
fishes ,3974,,sharks ,829,,total ,4803,,Tick ,391
fishes ,4175,,sharks ,788,,total ,4963,,Tick ,392
fishes ,4318,,sharks ,748,,total ,5066,,Tick ,393
fishes ,4514,,sharks ,696,,total ,5210,,Tick ,394
fishes ,4719,,sharks ,457,,total ,5176,,Tick ,395
fishes ,4855,,sharks ,847,,total ,5702,,Tick ,396
fishes ,4851,,sharks ,830,,total ,5681,,Tick ,397
fishes ,4914,,sharks ,809,,total ,5723,,Tick ,398
fishes ,4960,,sharks ,796,,total ,5756,,Tick ,399
fishes ,5121,,sharks ,757,,total ,5878,,Tick ,400
fishes ,5235,,sharks ,616,,total ,5851,,Tick ,401
fishes ,5321,,sharks ,1148,,total ,6469,,Tick ,402
fishes ,5129,,sharks ,1129,,total ,6258,,Tick ,403
fishes ,5084,,sharks ,1106,,total ,6190,,Tick ,404
fishes ,5042,,sharks ,1084,,total ,6126,,Tick ,405
fishes ,5129,,sharks ,1028,,total ,6157,,Tick ,406
fishes ,5213,,sharks ,782,,total ,5995,,Tick ,407
fishes ,5214,,sharks ,1408,,total ,6622,,Tick ,408
fishes ,4978,,sharks ,1358,,total ,6336,,Tick ,409
fishes ,4924,,sharks ,1311,,total ,6235,,Tick ,410
fishes ,4841,,sharks ,1264,,total ,6105,,Tick ,411
fishes ,4839,,sharks ,1174,,total ,6013,,Tick ,412
fishes ,4814,,sharks ,742,,total ,5556,,Tick ,413
fishes ,4752,,sharks ,1276,,total ,6028,,Tick ,414
fishes ,4478,,sharks ,1228,,total ,5706,,Tick ,415
fishes ,4322,,sharks ,1202,,total ,5524,,Tick ,416
fishes ,4221,,sharks ,1162,,total ,5383,,Tick ,417
fishes ,4196,,sharks ,1092,,total ,5288,,Tick ,418
fishes ,4173,,sharks ,747,,total ,4920,,Tick ,419
fishes ,4125,,sharks ,1283,,total ,5408,,Tick ,420
fishes ,3859,,sharks ,1255,,total ,5114,,Tick ,421
fishes ,3765,,sharks ,1220,,total ,4985,,Tick ,422
fishes ,3736,,sharks ,1179,,total ,4915,,Tick ,423
fishes ,3820,,sharks ,1093,,total ,4913,,Tick ,424
fishes ,3917,,sharks ,724,,total ,4641,,Tick ,425
fishes ,4028,,sharks ,1227,,total ,5255,,Tick ,426
fishes ,3911,,sharks ,1189,,total ,5100,,Tick ,427
fishes ,4003,,sharks ,1150,,total ,5153,,Tick ,428
fishes ,4068,,sharks ,1097,,total ,5165,,Tick ,429
fishes ,4268,,sharks ,1026,,total ,5294,,Tick ,430
fishes ,4379,,sharks ,690,,total ,5069,,Tick ,431
fishes ,4494,,sharks ,1185,,total ,5679,,Tick ,432
fishes ,4342,,sharks ,1144,,total ,5486,,Tick ,433
fishes ,4349,,sharks ,1108,,total ,5457,,Tick ,434
fishes ,4358,,sharks ,1079,,total ,5437,,Tick ,435
fishes ,4487,,sharks ,1014,,total ,5501,,Tick ,436
fishes ,4589,,sharks ,766,,total ,5355,,Tick ,437
fishes ,4639,,sharks ,1333,,total ,5972,,Tick ,438
fishes ,4399,,sharks ,1297,,total ,5696,,Tick ,439
fishes ,4359,,sharks ,1268,,total ,5627,,Tick ,440
fishes ,4293,,sharks ,1234,,total ,5527,,Tick ,441
fishes ,4425,,sharks ,1169,,total ,5594,,Tick ,442
fishes ,4400,,sharks ,860,,total ,5260,,Tick ,443
fishes ,4465,,sharks ,1515,,total ,5980,,Tick ,444
fishes ,4182,,sharks ,1466,,total ,5648,,Tick ,445
fishes ,4203,,sharks ,1412,,total ,5615,,Tick ,446
fishes ,4077,,sharks ,1341,,total ,5418,,Tick ,447
fishes ,4210,,sharks ,1257,,total ,5467,,Tick ,448
fishes ,4180,,sharks ,836,,total ,5016,,Tick ,449
fishes ,4174,,sharks ,1460,,total ,5634,,Tick ,450
fishes ,3853,,sharks ,1391,,total ,5244,,Tick ,451
fishes ,3799,,sharks ,1352,,total ,5151,,Tick ,452
fishes ,3675,,sharks ,1307,,total ,4982,,Tick ,453
fishes ,3737,,sharks ,1212,,total ,4949,,Tick ,454
fishes ,3764,,sharks ,783,,total ,4547,,Tick ,455
fishes ,3772,,sharks ,1310,,total ,5082,,Tick ,456
fishes ,3568,,sharks ,1266,,total ,4834,,Tick ,457
fishes ,3499,,sharks ,1212,,total ,4711,,Tick ,458
fishes ,3474,,sharks ,1164,,total ,4638,,Tick ,459
fishes ,3514,,sharks ,1102,,total ,4616,,Tick ,460
fishes ,3599,,sharks ,710,,total ,4309,,Tick ,461
fishes ,3631,,sharks ,1229,,total ,4860,,Tick ,462
fishes ,3514,,sharks ,1195,,total ,4709,,Tick ,463
fishes ,3561,,sharks ,1154,,total ,4715,,Tick ,464
fishes ,3645,,sharks ,1091,,total ,4736,,Tick ,465
fishes ,3815,,sharks ,1025,,total ,4840,,Tick ,466
fishes ,4047,,sharks ,675,,total ,4722,,Tick ,467
fishes ,4178,,sharks ,1099,,total ,5277,,Tick ,468
fishes ,4139,,sharks ,1038,,total ,5177,,Tick ,469
fishes ,4180,,sharks ,991,,total ,5171,,Tick ,470
fishes ,4246,,sharks ,960,,total ,5206,,Tick ,471
fishes ,4362,,sharks ,919,,total ,5281,,Tick ,472
fishes ,4395,,sharks ,658,,total ,5053,,Tick ,473
fishes ,4452,,sharks ,1147,,total ,5599,,Tick ,474
fishes ,4253,,sharks ,1113,,total ,5366,,Tick ,475
fishes ,4209,,sharks ,1064,,total ,5273,,Tick ,476
fishes ,4139,,sharks ,1025,,total ,5164,,Tick ,477
fishes ,4218,,sharks ,967,,total ,5185,,Tick ,478
fishes ,4229,,sharks ,699,,total ,4928,,Tick ,479
fishes ,4230,,sharks ,1270,,total ,5500,,Tick ,480
fishes ,3915,,sharks ,1234,,total ,5149,,Tick ,481
fishes ,3899,,sharks ,1207,,total ,5106,,Tick ,482
fishes ,3829,,sharks ,1167,,total ,4996,,Tick ,483
fishes ,3867,,sharks ,1099,,total ,4966,,Tick ,484
fishes ,3881,,sharks ,758,,total ,4639,,Tick ,485
fishes ,3866,,sharks ,1284,,total ,5150,,Tick ,486
fishes ,3658,,sharks ,1237,,total ,4895,,Tick ,487
fishes ,3654,,sharks ,1177,,total ,4831,,Tick ,488
fishes ,3607,,sharks ,1137,,total ,4744,,Tick ,489
fishes ,3639,,sharks ,1051,,total ,4690,,Tick ,490
fishes ,3670,,sharks ,657,,total ,4327,,Tick ,491
fishes ,3656,,sharks ,1182,,total ,4838,,Tick ,492
fishes ,3445,,sharks ,1152,,total ,4597,,Tick ,493
fishes ,3354,,sharks ,1113,,total ,4467,,Tick ,494
fishes ,3318,,sharks ,1086,,total ,4404,,Tick ,495
fishes ,3368,,sharks ,1017,,total ,4385,,Tick ,496
fishes ,3378,,sharks ,698,,total ,4076,,Tick ,497
fishes ,3407,,sharks ,1215,,total ,4622,,Tick ,498
fishes ,3216,,sharks ,1159,,total ,4375,,Tick ,499
fishes ,3229,,sharks ,1114,,total ,4343,,Tick ,500
fishes ,3204,,sharks ,1052,,total ,4256,,Tick ,501
fishes ,3341,,sharks ,963,,total ,4304,,Tick ,502
fishes ,3432,,sharks ,577,,total ,4009,,Tick ,503
fishes ,3572,,sharks ,988,,total ,4560,,Tick ,504
fishes ,3487,,sharks ,947,,total ,4434,,Tick ,505
fishes ,3658,,sharks ,895,,total ,4553,,Tick ,506
fishes ,3744,,sharks ,859,,total ,4603,,Tick ,507
fishes ,4020,,sharks ,796,,total ,4816,,Tick ,508
fishes ,4167,,sharks ,508,,total ,4675,,Tick ,509
fishes ,4418,,sharks ,881,,total ,5299,,Tick ,510
fishes ,4374,,sharks ,854,,total ,5228,,Tick ,511
fishes ,4553,,sharks ,830,,total ,5383,,Tick ,512
fishes ,4608,,sharks ,809,,total ,5417,,Tick ,513
fishes ,4862,,sharks ,764,,total ,5626,,Tick ,514
fishes ,4982,,sharks ,562,,total ,5544,,Tick ,515
fishes ,5203,,sharks ,1045,,total ,6248,,Tick ,516
fishes ,5029,,sharks ,1001,,total ,6030,,Tick ,517
fishes ,5145,,sharks ,963,,total ,6108,,Tick ,518
fishes ,5101,,sharks ,949,,total ,6050,,Tick ,519
fishes ,5321,,sharks ,901,,total ,6222,,Tick ,520
fishes ,5326,,sharks ,669,,total ,5995,,Tick ,521
fishes ,5488,,sharks ,1235,,total ,6723,,Tick ,522
fishes ,5147,,sharks ,1190,,total ,6337,,Tick ,523
fishes ,5164,,sharks ,1157,,total ,6321,,Tick ,524
fishes ,4998,,sharks ,1134,,total ,6132,,Tick ,525
fishes ,5104,,sharks ,1075,,total ,6179,,Tick ,526
fishes ,5012,,sharks ,820,,total ,5832,,Tick ,527
fishes ,4988,,sharks ,1479,,total ,6467,,Tick ,528
fishes ,4569,,sharks ,1420,,total ,5989,,Tick ,529
fishes ,4438,,sharks ,1385,,total ,5823,,Tick ,530
fishes ,4177,,sharks ,1347,,total ,5524,,Tick ,531
fishes ,4169,,sharks ,1263,,total ,5432,,Tick ,532
fishes ,4022,,sharks ,915,,total ,4937,,Tick ,533
fishes ,3897,,sharks ,1633,,total ,5530,,Tick ,534
fishes ,3418,,sharks ,1554,,total ,4972,,Tick ,535
fishes ,3311,,sharks ,1503,,total ,4814,,Tick ,536
fishes ,3089,,sharks ,1448,,total ,4537,,Tick ,537
fishes ,3163,,sharks ,1337,,total ,4500,,Tick ,538
fishes ,3054,,sharks ,805,,total ,3859,,Tick ,539
fishes ,3165,,sharks ,1416,,total ,4581,,Tick ,540
fishes ,2888,,sharks ,1338,,total ,4226,,Tick ,541
fishes ,3007,,sharks ,1259,,total ,4266,,Tick ,542
fishes ,2904,,sharks ,1202,,total ,4106,,Tick ,543
fishes ,3109,,sharks ,1097,,total ,4206,,Tick ,544
fishes ,3091,,sharks ,622,,total ,3713,,Tick ,545
fishes ,3286,,sharks ,1075,,total ,4361,,Tick ,546
fishes ,3146,,sharks ,1026,,total ,4172,,Tick ,547
fishes ,3334,,sharks ,986,,total ,4320,,Tick ,548
fishes ,3357,,sharks ,931,,total ,4288,,Tick ,549
fishes ,3607,,sharks ,858,,total ,4465,,Tick ,550
fishes ,3706,,sharks ,526,,total ,4232,,Tick ,551
fishes ,3935,,sharks ,966,,total ,4901,,Tick ,552
fishes ,3778,,sharks ,926,,total ,4704,,Tick ,553
fishes ,3913,,sharks ,896,,total ,4809,,Tick ,554
fishes ,3935,,sharks ,873,,total ,4808,,Tick ,555
fishes ,4159,,sharks ,845,,total ,5004,,Tick ,556
fishes ,4234,,sharks ,617,,total ,4851,,Tick ,557
fishes ,4389,,sharks ,1125,,total ,5514,,Tick ,558
fishes ,4204,,sharks ,1075,,total ,5279,,Tick ,559
fishes ,4251,,sharks ,1045,,total ,5296,,Tick ,560
fishes ,4247,,sharks ,1000,,total ,5247,,Tick ,561
fishes ,4399,,sharks ,936,,total ,5335,,Tick ,562
fishes ,4470,,sharks ,592,,total ,5062,,Tick ,563
fishes ,4598,,sharks ,1067,,total ,5665,,Tick ,564
fishes ,4347,,sharks ,1037,,total ,5384,,Tick ,565
fishes ,4327,,sharks ,1013,,total ,5340,,Tick ,566
fishes ,4216,,sharks ,992,,total ,5208,,Tick ,567
fishes ,4279,,sharks ,949,,total ,5228,,Tick ,568
fishes ,4273,,sharks ,713,,total ,4986,,Tick ,569
fishes ,4316,,sharks ,1312,,total ,5628,,Tick ,570
fishes ,3944,,sharks ,1267,,total ,5211,,Tick ,571
fishes ,3909,,sharks ,1223,,total ,5132,,Tick ,572
fishes ,3748,,sharks ,1174,,total ,4922,,Tick ,573
fishes ,3829,,sharks ,1111,,total ,4940,,Tick ,574
fishes ,3788,,sharks ,738,,total ,4526,,Tick ,575
fishes ,3824,,sharks ,1262,,total ,5086,,Tick ,576
fishes ,3532,,sharks ,1198,,total ,4730,,Tick ,577
fishes ,3552,,sharks ,1153,,total ,4705,,Tick ,578
fishes ,3411,,sharks ,1111,,total ,4522,,Tick ,579
fishes ,3525,,sharks ,1041,,total ,4566,,Tick ,580
fishes ,3455,,sharks ,634,,total ,4089,,Tick ,581
fishes ,3570,,sharks ,1124,,total ,4694,,Tick ,582
fishes ,3332,,sharks ,1086,,total ,4418,,Tick ,583
fishes ,3384,,sharks ,1046,,total ,4430,,Tick ,584
fishes ,3299,,sharks ,998,,total ,4297,,Tick ,585
fishes ,3470,,sharks ,924,,total ,4394,,Tick ,586
fishes ,3491,,sharks ,609,,total ,4100,,Tick ,587
fishes ,3657,,sharks ,1048,,total ,4705,,Tick ,588
fishes ,3485,,sharks ,998,,total ,4483,,Tick ,589
fishes ,3598,,sharks ,953,,total ,4551,,Tick ,590
fishes ,3607,,sharks ,912,,total ,4519,,Tick ,591
fishes ,3855,,sharks ,852,,total ,4707,,Tick ,592
fishes ,3961,,sharks ,553,,total ,4514,,Tick ,593
fishes ,4181,,sharks ,970,,total ,5151,,Tick ,594
fishes ,4059,,sharks ,956,,total ,5015,,Tick ,595
fishes ,4225,,sharks ,931,,total ,5156,,Tick ,596
fishes ,4245,,sharks ,900,,total ,5145,,Tick ,597
fishes ,4460,,sharks ,847,,total ,5307,,Tick ,598
fishes ,4548,,sharks ,609,,total ,5157,,Tick ,599
fishes ,4686,,sharks ,1071,,total ,5757,,Tick ,600
fishes ,4503,,sharks ,1017,,total ,5520,,Tick ,601
fishes ,4526,,sharks ,969,,total ,5495,,Tick ,602
fishes ,4491,,sharks ,944,,total ,5435,,Tick ,603
fishes ,4587,,sharks ,897,,total ,5484,,Tick ,604
fishes ,4621,,sharks ,628,,total ,5249,,Tick ,605
fishes ,4686,,sharks ,1154,,total ,5840,,Tick ,606
fishes ,4436,,sharks ,1122,,total ,5558,,Tick ,607
fishes ,4398,,sharks ,1088,,total ,5486,,Tick ,608
fishes ,4295,,sharks ,1056,,total ,5351,,Tick ,609
fishes ,4378,,sharks ,997,,total ,5375,,Tick ,610
fishes ,4384,,sharks ,737,,total ,5121,,Tick ,611
fishes ,4401,,sharks ,1320,,total ,5721,,Tick ,612
fishes ,4028,,sharks ,1264,,total ,5292,,Tick ,613
fishes ,3912,,sharks ,1221,,total ,5133,,Tick ,614
fishes ,3827,,sharks ,1188,,total ,5015,,Tick ,615
fishes ,3861,,sharks ,1121,,total ,4982,,Tick ,616
fishes ,3865,,sharks ,732,,total ,4597,,Tick ,617
fishes ,3880,,sharks ,1225,,total ,5105,,Tick ,618
fishes ,3704,,sharks ,1164,,total ,4868,,Tick ,619
fishes ,3690,,sharks ,1115,,total ,4805,,Tick ,620
fishes ,3689,,sharks ,1067,,total ,4756,,Tick ,621
fishes ,3760,,sharks ,989,,total ,4749,,Tick ,622
fishes ,3827,,sharks ,640,,total ,4467,,Tick ,623
fishes ,3901,,sharks ,1165,,total ,5066,,Tick ,624
fishes ,3779,,sharks ,1127,,total ,4906,,Tick ,625
fishes ,3752,,sharks ,1085,,total ,4837,,Tick ,626
fishes ,3823,,sharks ,1032,,total ,4855,,Tick ,627
fishes ,3859,,sharks ,955,,total ,4814,,Tick ,628
fishes ,4027,,sharks ,654,,total ,4681,,Tick ,629
fishes ,4032,,sharks ,1147,,total ,5179,,Tick ,630
fishes ,3929,,sharks ,1104,,total ,5033,,Tick ,631
fishes ,3836,,sharks ,1080,,total ,4916,,Tick ,632
fishes ,3908,,sharks ,1046,,total ,4954,,Tick ,633
fishes ,3946,,sharks ,1000,,total ,4946,,Tick ,634
fishes ,4105,,sharks ,742,,total ,4847,,Tick ,635
fishes ,4125,,sharks ,1334,,total ,5459,,Tick ,636
fishes ,4052,,sharks ,1298,,total ,5350,,Tick ,637
fishes ,3970,,sharks ,1254,,total ,5224,,Tick ,638
fishes ,3997,,sharks ,1195,,total ,5192,,Tick ,639
fishes ,4015,,sharks ,1113,,total ,5128,,Tick ,640
fishes ,4070,,sharks ,785,,total ,4855,,Tick ,641
fishes ,4009,,sharks ,1399,,total ,5408,,Tick ,642
fishes ,3770,,sharks ,1332,,total ,5102,,Tick ,643
fishes ,3658,,sharks ,1279,,total ,4937,,Tick ,644
fishes ,3564,,sharks ,1230,,total ,4794,,Tick ,645
fishes ,3540,,sharks ,1148,,total ,4688,,Tick ,646
fishes ,3543,,sharks ,743,,total ,4286,,Tick ,647
fishes ,3517,,sharks ,1297,,total ,4814,,Tick ,648
fishes ,3309,,sharks ,1256,,total ,4565,,Tick ,649
fishes ,3287,,sharks ,1209,,total ,4496,,Tick ,650
fishes ,3255,,sharks ,1146,,total ,4401,,Tick ,651
fishes ,3342,,sharks ,1055,,total ,4397,,Tick ,652
fishes ,3403,,sharks ,671,,total ,4074,,Tick ,653
fishes ,3475,,sharks ,1192,,total ,4667,,Tick ,654
fishes ,3293,,sharks ,1143,,total ,4436,,Tick ,655
fishes ,3325,,sharks ,1097,,total ,4422,,Tick ,656
fishes ,3320,,sharks ,1049,,total ,4369,,Tick ,657
fishes ,3448,,sharks ,966,,total ,4414,,Tick ,658
fishes ,3532,,sharks ,594,,total ,4126,,Tick ,659
fishes ,3620,,sharks ,1017,,total ,4637,,Tick ,660
fishes ,3552,,sharks ,969,,total ,4521,,Tick ,661
fishes ,3614,,sharks ,933,,total ,4547,,Tick ,662
fishes ,3708,,sharks ,898,,total ,4606,,Tick ,663
fishes ,3847,,sharks ,852,,total ,4699,,Tick ,664
fishes ,4008,,sharks ,600,,total ,4608,,Tick ,665
fishes ,4077,,sharks ,1098,,total ,5175,,Tick ,666
fishes ,4014,,sharks ,1070,,total ,5084,,Tick ,667
fishes ,4004,,sharks ,1046,,total ,5050,,Tick ,668
fishes ,4120,,sharks ,1009,,total ,5129,,Tick ,669
fishes ,4200,,sharks ,933,,total ,5133,,Tick ,670
fishes ,4392,,sharks ,662,,total ,5054,,Tick ,671
fishes ,4395,,sharks ,1212,,total ,5607,,Tick ,672
fishes ,4250,,sharks ,1172,,total ,5422,,Tick ,673
fishes ,4129,,sharks ,1137,,total ,5266,,Tick ,674
fishes ,4177,,sharks ,1107,,total ,5284,,Tick ,675
fishes ,4233,,sharks ,1060,,total ,5293,,Tick ,676
fishes ,4384,,sharks ,781,,total ,5165,,Tick ,677
fishes ,4402,,sharks ,1362,,total ,5764,,Tick ,678
fishes ,4215,,sharks ,1300,,total ,5515,,Tick ,679
fishes ,4178,,sharks ,1260,,total ,5438,,Tick ,680
fishes ,4160,,sharks ,1213,,total ,5373,,Tick ,681
fishes ,4216,,sharks ,1154,,total ,5370,,Tick ,682
fishes ,4300,,sharks ,770,,total ,5070,,Tick ,683
fishes ,4242,,sharks ,1334,,total ,5576,,Tick ,684
fishes ,4035,,sharks ,1264,,total ,5299,,Tick ,685
fishes ,3863,,sharks ,1223,,total ,5086,,Tick ,686
fishes ,3837,,sharks ,1175,,total ,5012,,Tick ,687
fishes ,3801,,sharks ,1092,,total ,4893,,Tick ,688
fishes ,3895,,sharks ,673,,total ,4568,,Tick ,689
fishes ,3821,,sharks ,1178,,total ,4999,,Tick ,690
fishes ,3622,,sharks ,1115,,total ,4737,,Tick ,691
fishes ,3448,,sharks ,1078,,total ,4526,,Tick ,692
fishes ,3442,,sharks ,1055,,total ,4497,,Tick ,693
fishes ,3377,,sharks ,1001,,total ,4378,,Tick ,694
fishes ,3512,,sharks ,712,,total ,4224,,Tick ,695
fishes ,3461,,sharks ,1195,,total ,4656,,Tick ,696
fishes ,3324,,sharks ,1125,,total ,4449,,Tick ,697
fishes ,3220,,sharks ,1064,,total ,4284,,Tick ,698
fishes ,3233,,sharks ,1027,,total ,4260,,Tick ,699
fishes ,3227,,sharks ,964,,total ,4191,,Tick ,700
fishes ,3360,,sharks ,620,,total ,3980,,Tick ,701
fishes ,3358,,sharks ,1107,,total ,4465,,Tick ,702
fishes ,3306,,sharks ,1038,,total ,4344,,Tick ,703
fishes ,3243,,sharks ,994,,total ,4237,,Tick ,704
fishes ,3378,,sharks ,951,,total ,4329,,Tick ,705
fishes ,3422,,sharks ,892,,total ,4314,,Tick ,706
fishes ,3656,,sharks ,542,,total ,4198,,Tick ,707
fishes ,3665,,sharks ,911,,total ,4576,,Tick ,708
fishes ,3742,,sharks ,869,,total ,4611,,Tick ,709
fishes ,3690,,sharks ,834,,total ,4524,,Tick ,710
fishes ,3903,,sharks ,802,,total ,4705,,Tick ,711
fishes ,3960,,sharks ,747,,total ,4707,,Tick ,712
fishes ,4240,,sharks ,493,,total ,4733,,Tick ,713
fishes ,4282,,sharks ,913,,total ,5195,,Tick ,714
fishes ,4325,,sharks ,885,,total ,5210,,Tick ,715
fishes ,4333,,sharks ,860,,total ,5193,,Tick ,716
fishes ,4510,,sharks ,831,,total ,5341,,Tick ,717
fishes ,4548,,sharks ,793,,total ,5341,,Tick ,718
fishes ,4733,,sharks ,563,,total ,5296,,Tick ,719
fishes ,4702,,sharks ,1030,,total ,5732,,Tick ,720
fishes ,4646,,sharks ,997,,total ,5643,,Tick ,721
fishes ,4599,,sharks ,965,,total ,5564,,Tick ,722
fishes ,4705,,sharks ,938,,total ,5643,,Tick ,723
fishes ,4723,,sharks ,874,,total ,5597,,Tick ,724
fishes ,4909,,sharks ,610,,total ,5519,,Tick ,725
fishes ,4879,,sharks ,1084,,total ,5963,,Tick ,726
fishes ,4787,,sharks ,1038,,total ,5825,,Tick ,727
fishes ,4685,,sharks ,1005,,total ,5690,,Tick ,728
fishes ,4692,,sharks ,983,,total ,5675,,Tick ,729
fishes ,4692,,sharks ,925,,total ,5617,,Tick ,730
fishes ,4742,,sharks ,656,,total ,5398,,Tick ,731
fishes ,4687,,sharks ,1198,,total ,5885,,Tick ,732
fishes ,4482,,sharks ,1162,,total ,5644,,Tick ,733
fishes ,4370,,sharks ,1125,,total ,5495,,Tick ,734
fishes ,4337,,sharks ,1078,,total ,5415,,Tick ,735
fishes ,4330,,sharks ,1001,,total ,5331,,Tick ,736
fishes ,4403,,sharks ,687,,total ,5090,,Tick ,737
fishes ,4357,,sharks ,1222,,total ,5579,,Tick ,738
fishes ,4166,,sharks ,1169,,total ,5335,,Tick ,739
fishes ,4073,,sharks ,1124,,total ,5197,,Tick ,740
fishes ,4052,,sharks ,1092,,total ,5144,,Tick ,741
fishes ,4066,,sharks ,1024,,total ,5090,,Tick ,742
fishes ,4145,,sharks ,668,,total ,4813,,Tick ,743
fishes ,4125,,sharks ,1160,,total ,5285,,Tick ,744
fishes ,3962,,sharks ,1103,,total ,5065,,Tick ,745
fishes ,3888,,sharks ,1063,,total ,4951,,Tick ,746
fishes ,3918,,sharks ,1034,,total ,4952,,Tick ,747
fishes ,3974,,sharks ,953,,total ,4927,,Tick ,748
fishes ,4105,,sharks ,635,,total ,4740,,Tick ,749
fishes ,4185,,sharks ,1087,,total ,5272,,Tick ,750
fishes ,4102,,sharks ,1039,,total ,5141,,Tick ,751
fishes ,4132,,sharks ,994,,total ,5126,,Tick ,752
fishes ,4235,,sharks ,957,,total ,5192,,Tick ,753
fishes ,4357,,sharks ,909,,total ,5266,,Tick ,754
fishes ,4530,,sharks ,599,,total ,5129,,Tick ,755
fishes ,4593,,sharks ,1094,,total ,5687,,Tick ,756
fishes ,4538,,sharks ,1054,,total ,5592,,Tick ,757
fishes ,4597,,sharks ,1021,,total ,5618,,Tick ,758
fishes ,4659,,sharks ,995,,total ,5654,,Tick ,759
fishes ,4773,,sharks ,934,,total ,5707,,Tick ,760
fishes ,4905,,sharks ,674,,total ,5579,,Tick ,761
fishes ,4966,,sharks ,1221,,total ,6187,,Tick ,762
fishes ,4773,,sharks ,1176,,total ,5949,,Tick ,763
fishes ,4722,,sharks ,1137,,total ,5859,,Tick ,764
fishes ,4726,,sharks ,1093,,total ,5819,,Tick ,765
fishes ,4725,,sharks ,1045,,total ,5770,,Tick ,766
fishes ,4806,,sharks ,752,,total ,5558,,Tick ,767
fishes ,4770,,sharks ,1346,,total ,6116,,Tick ,768
fishes ,4549,,sharks ,1298,,total ,5847,,Tick ,769
fishes ,4443,,sharks ,1257,,total ,5700,,Tick ,770
fishes ,4437,,sharks ,1206,,total ,5643,,Tick ,771
fishes ,4439,,sharks ,1126,,total ,5565,,Tick ,772
fishes ,4456,,sharks ,737,,total ,5193,,Tick ,773
